,具体地址,单价,建造年份,总价,房型,标题,楼层,链接,面积
60,恒天时尚中心  红谷滩-九龙湖新区-赣江南大道1566号,10857元/m²,2018年建造,38,1室1厅,绿地双层江景公寓单价9000起来电减6万地铁口省府旁,中层(共17层),https://nc.anjuke.com/prop/view/A1580348148?from=filter&spread=filtersearch&position=1&kwtype=filter&now_time=1550744821,35m²
61,绿地国际博览城  红谷滩-九龙湖新区-九龙大道1177号,16215元/m²,2015年建造,176,3室2厅,捡漏时间到！国博，居家豪装3房 只卖毛坯价 拎包入住 双学位,高层(共32层),https://nc.anjuke.com/prop/view/A1584866573?from=filter&spread=filtersearch_t&position=2&kwtype=filter&now_time=1550744821,108m²
62,恒天时尚中心  红谷滩-九龙湖新区-赣江南大道1566号,11354元/m²,2018年建造,55.5,1室1厅,红谷滩地铁口，一线江景房，270度江景尽收眼底，恒天时尚中心,低层(共27层),https://nc.anjuke.com/prop/view/A1583015679?from=filter&spread=filtersearch_t&position=3&kwtype=filter&now_time=1550744821,48m²
63,绿地国际博览城君珑  红谷滩-九龙湖新区-九龙大道1177号,13945元/m²,2014年建造,152,3室2厅,绿地君珑小区，110平通透三房单价不到1.4万，有梦就追吧！,中层(共33层),https://nc.anjuke.com/prop/view/A1581024949?from=filter&spread=filtersearch_t&position=4&kwtype=filter&now_time=1550744821,109m²
64,绿地国际博览城  红谷滩-九龙湖新区-九龙大道1177号,19564元/m²,2010年建造,350,4室2厅,绿地国博城 上下三层！低于市场价50万，房东挥泪抛售，送车位,共1层,https://nc.anjuke.com/prop/view/A1578575091?from=filter&spread=filtersearch_t&position=5&kwtype=filter&now_time=1550744821,178m²
65,绿地悦城B区  红谷滩-九龙湖新区-西站大街,18881元/m²,2015年建造,270,3室2厅,绿地悦城B区 中间楼层通透三房 产证在手 随时过户 看房随时,中层(共18层),https://nc.anjuke.com/prop/view/A1579663849?from=filter&spread=filtersearch_t&position=6&kwtype=filter&now_time=1550744821,143m²
66,绿地国际博览城君珑  红谷滩-九龙湖新区-九龙大道1177号,13929元/m²,2016年建造,156,3室2厅,国博一期 不限购 性价比超高一套 房东直降20万出门地铁育新,中层(共32层),https://nc.anjuke.com/prop/view/A1585133790?from=filter&spread=filtersearch_t&position=7&kwtype=filter&now_time=1550744821,112m²
67,南昌万科粹叠园  红谷滩-九龙湖新区-三清山大道555号,19929元/m²,2015年建造,279,4室2厅,（万科自营）粹叠园省人大集资房得房率高不限购精装四房适合居住,低层(共33层),https://nc.anjuke.com/prop/view/A1587412819?from=filter&spread=filtersearch_t&position=8&kwtype=filter&now_time=1550744821,140m²
68,九龙湖花园一区  红谷滩-九龙湖新区-祥云大道,16224元/m²,2013年建造,260,4室1厅,九龙湖花园 真实在售大气四房 高层视野绝杀 全天阳光看房随时,高层(共33层),https://nc.anjuke.com/prop/view/A1579229366?from=filter&spread=filtersearch_t&position=9&kwtype=filter&now_time=1550744821,160m²
69,恒天时尚中心  红谷滩-九龙湖新区-赣江南大道1566号,10809元/m²,2018年建造,48.9,1室1厅,双地铁口，一线江景现房公寓，买即收租，来电享受看房车包接送！,中层(共18层),https://nc.anjuke.com/prop/view/A1587831841?from=filter&spread=filtersearch_t&position=10&kwtype=filter&now_time=1550744821,45m²
70,绿地国际博览城君珑  红谷滩-九龙湖新区-九龙大道1177号,16055元/m²,2015年建造,175,3室2厅,绿地博览城新出豪华装修三房 前面视线无挡 175万拒绝假广告,中层(共27层),https://nc.anjuke.com/prop/view/A1583426259?from=filter&spread=filtersearch_t&position=11&kwtype=filter&now_time=1550744821,109m²
71,绿地国际博览城  红谷滩-九龙湖新区-九龙大道1177号,14882元/m²,2015年建造,142,3室2厅,绿地国际博览城 精装修3房 全天采光 家电家具都带 房东诚售,中层(共32层),https://nc.anjuke.com/prop/view/A1585136880?from=filter&spread=filtersearch_t&position=12&kwtype=filter&now_time=1550744821,95m²
72,绿地国际博览城博浩  红谷滩-九龙湖新区-九龙大道1177号,14957元/m²,2016年建造,175,3室2厅,九龙湖西客站 绿地国际博览城 房东精心装修 诚心出售随时看房,低层(共18层),https://nc.anjuke.com/prop/view/A1583934366?from=filter&spread=filtersearch_t&position=13&kwtype=filter&now_time=1550744821,117m²
73,绿地国际博览城  红谷滩-九龙湖新区-九龙大道1177号,15510元/m²,2016年建造,148,3室2厅,绿地国博不限购 房东20万结婚装修小三房 拎包入住近地铁学校,中层(共30层),https://nc.anjuke.com/prop/view/A1584964274?from=filter&spread=filtersearch_t&position=14&kwtype=filter&now_time=1550744821,95m²
74,南昌万科粹叠园  红谷滩-九龙湖新区-三清山大道555号,20357元/m²,2015年建造,285,4室2厅,（万科自营）万科物业管理，豪装四房，诚心出售,低层(共33层),https://nc.anjuke.com/prop/view/A1587301918?from=filter&spread=filtersearch_t&position=15&kwtype=filter&now_time=1550744821,140m²
75,九龙湖花园一区  红谷滩-九龙湖新区-祥云大道,15532元/m²,2015年建造,187,3室1厅,省政府配套，就读新龙岗学校。好楼层，小区环境清新,高层(共33层),https://nc.anjuke.com/prop/view/A1579088839?from=filter&spread=filtersearch_t&position=16&kwtype=filter&now_time=1550744821,120m²
76,绿地国际博览城博君  红谷滩-九龙湖新区-九龙大道1177号,15043元/m²,2015年建造,173,3室2厅,绿地国博经典南北通透三房，清新艺术装修，买到就是赚到,中层(共32层),https://nc.anjuke.com/prop/view/A1586594651?from=filter&spread=filtersearch_t&position=17&kwtype=filter&now_time=1550744821,115m²
77,绿地国际博览城君珑  红谷滩-九龙湖新区-九龙大道1177号,15000元/m²,2014年建造,120,2室2厅,绿地国际博览城一期，房东置换，低.价出售,高层(共32层),https://nc.anjuke.com/prop/view/A1586833641?from=filter&spread=filtersearch_t&position=18&kwtype=filter&now_time=1550744821,80m²
78,绿地国际博览城博君  红谷滩-九龙湖新区-九龙大道1177号,13739元/m²,2016年建造,158,3室2厅,急急急 绿博二期房源业主急卖低于市场价三十万 手快有,共1层,https://nc.anjuke.com/prop/view/A1586892332?from=filter&spread=filtersearch_t&position=19&kwtype=filter&now_time=1550744821,115m²
79,南昌万科粹叠园  红谷滩-九龙湖新区-三清山大道555号,20000元/m²,2016年建造,280,4室2厅,（万科自营）豪华精装修 房东诚意出售 双学双铁,低层(共33层),https://nc.anjuke.com/prop/view/A1587355898?from=filter&spread=filtersearch_t&position=20&kwtype=filter&now_time=1550744821,140m²
80,南昌万科粹叠园  红谷滩-九龙湖新区-三清山大道555号,20694元/m²,2015年建造,298,4室2厅,好房推荐！万科翠叠园 精装修带车位，拎包入住 地铁口双学位,低层(共32层),https://nc.anjuke.com/prop/view/A1584953965?from=filter&spread=filtersearch_t&position=21&kwtype=filter&now_time=1550744821,144m²
81,绿地国际博览城  红谷滩-九龙湖新区-九龙大道1177号,15591元/m²,2015年建造,145,3室2厅,绿地国际博览城 精装三房 通透大气 实拍 真,低层(共32层),https://nc.anjuke.com/prop/view/A1585132134?from=filter&spread=filtersearch_t&position=22&kwtype=filter&now_time=1550744821,93m²
82,绿地国际博览城博睿  红谷滩-九龙湖新区-九龙大道1177号,15153元/m²,2015年建造,175,3室2厅,降价十万急售 九龙湖地铁2号线绿地博览城精装朝南通透大三房,低层(共32层),https://nc.anjuke.com/prop/view/A1582869119?from=filter&spread=filtersearch_t&position=23&kwtype=filter&now_time=1550744821,115m²
83,绿地国际博览城藏珑  红谷滩-九龙湖新区-九龙大道1177号,15455元/m²,2010年建造,170,3室2厅,"绿地博览城，结婚精装,家电家具全带，装修花30万，产证过户",高层(共32层),https://nc.anjuke.com/prop/view/A1585404403?from=filter&spread=filtersearch_t&position=24&kwtype=filter&now_time=1550744821,110m²
84,绿地悦城D区  红谷滩-九龙湖新区-西站大街,17631元/m²,2015年建造,253,3室2厅,绿地悦城，国体核心地段，读南师附小，外国语初高中,中层(共18层),https://nc.anjuke.com/prop/view/A1587103951?from=filter&spread=filtersearch_t&position=25&kwtype=filter&now_time=1550744821,143m²
85,绿地国际博览城君珑  红谷滩-九龙湖新区-九龙大道1177号,15727元/m²,2015年建造,173,3室2厅,追梦！2019年换套房子，换个心情，这套就不错，绿地大三房,中层(共32层),https://nc.anjuke.com/prop/view/A1581021127?from=filter&spread=filtersearch_t&position=26&kwtype=filter&now_time=1550744821,110m²
86,绿地国际博览城  红谷滩-九龙湖新区-九龙大道1177号,13100元/m²,2014年建造,125,3室2厅,绿地国博城小3房，性价比高，视野采光无挡，真实在售，有视频！,中层(共32层),https://nc.anjuke.com/prop/view/A1580311252?from=filter&spread=filtersearch_t&position=27&kwtype=filter&now_time=1550744821,95m²
87,绿地国际博览城  红谷滩-九龙湖新区-九龙大道1177号,14253元/m²,2016年建造,136,3室2厅,绿地国博城 急售 视野好 急售！ 房东小孩出国留学发展，急售,中层(共30层),https://nc.anjuke.com/prop/view/A1580739427?from=filter&spread=filtersearch_t&position=28&kwtype=filter&now_time=1550744821,95m²
88,绿地国际博览城藏珑  红谷滩-九龙湖新区-九龙大道1177号,13600元/m²,2014年建造,170,3室2厅,绿地国际博览城一期，170万，124平通透大三房，三个阳台，,低层(共27层),https://nc.anjuke.com/prop/view/A1586436183?from=filter&spread=filtersearch_t&position=29&kwtype=filter&now_time=1550744821,125m²
89,绿地国际博览城  红谷滩-九龙湖新区-九龙大道1177号,14341元/m²,2015年建造,178,3室2厅,绿地国际博览城 一期房东置换！急售！急售！主卧带阳台大三房,高层(共32层),https://nc.anjuke.com/prop/view/A1584994400?from=filter&spread=filtersearch_t&position=30&kwtype=filter&now_time=1550744821,124m²
90,绿地悦城D区  红谷滩-九龙湖新区-西站大街,15933元/m²,2015年建造,228,3室2厅,绿地悦城 读南师附小外国语 地铁旁 好楼层 产证在手 急售,高层(共18层),https://nc.anjuke.com/prop/view/A1587105327?from=filter&spread=filtersearch_t&position=31&kwtype=filter&now_time=1550744821,143m²
91,绿地国际博览城博睿  红谷滩-九龙湖新区-九龙大道1177号,13565元/m²,2015年建造,156,3室2厅,万达城粹叠园旁 视野无档 采光很好 还有车位的江景房,高层(共32层),https://nc.anjuke.com/prop/view/A1578457744?from=filter&spread=filtersearch_t&position=32&kwtype=filter&now_time=1550744821,115m²
92,恒天时尚中心  红谷滩-九龙湖新区-赣江南大道1566号,10811元/m²,2018年建造,40,1室1厅,九龙湖的中心位置省政府旁边宜住宜办公的江景房公寓。,高层(共27层),https://nc.anjuke.com/prop/view/A1587974389?from=filter&spread=filtersearch_t&position=33&kwtype=filter&now_time=1550744821,37m²
93,恒天时尚中心  红谷滩-九龙湖新区-赣江南大道1566号,9048元/m²,2017年建造,38,1室1厅,绿地双层江景公寓单价9000起来电减6万地铁口省府旁,中层(共18层),https://nc.anjuke.com/prop/view/A1588428914?from=filter&spread=filtersearch_t&position=34&kwtype=filter&now_time=1550744821,42m²
94,"九龙郡  红谷滩-九龙湖新区-圭峰大道,近西站大街",10000元/m²,2018年建造,36,1室1厅,西站旁精装公寓 高端社区纵享奢华，肆意生活，风景宜人,中层(共29层),https://nc.anjuke.com/prop/view/A1588404735?from=filter&spread=filtersearch_t&position=35&kwtype=filter&now_time=1550744821,36m²
95,九龙湖花园一区  红谷滩-九龙湖新区-祥云大道,14577元/m²,2014年建造,175,3室2厅,九龙湖中心 省政府旁 精装通透三房 诚心出售 要的速度,中层(共32层),https://nc.anjuke.com/prop/view/A1588688673?from=filter&spread=filtersearch_t&position=36&kwtype=filter&now_time=1550744821,120m²
96,绿地国际博览城御珑  红谷滩-九龙湖新区-九龙大道1177号,15684元/m²,2014年建造,149,3室2厅,绿地国博 惊现毛胚价精装通透三房，楼下地铁口，育新小学 急售,中层(共29层),https://nc.anjuke.com/prop/view/A1585746187?from=filter&spread=filtersearch_t&position=37&kwtype=filter&now_time=1550744821,95m²
97,绿地国际博览城卧珑  红谷滩-九龙湖新区-九龙大道1177号,15368元/m²,2014年建造,146,3室2厅,爆款 绿地国博精装3房2厅一卫 房东已经定了其他楼盘急需出手,中层(共28层),https://nc.anjuke.com/prop/view/A1588279228?from=filter&spread=filtersearch_t&position=38&kwtype=filter&now_time=1550744821,95m²
98,绿地国际博览城  红谷滩-九龙湖新区-九龙大道1177号,14777元/m²,2015年建造,141,3室2厅,绿地国博城小3房，性价比高，视野采光无挡，真实在售,高层(共32层),https://nc.anjuke.com/prop/view/A1581649222?from=filter&spread=filtersearch_t&position=39&kwtype=filter&now_time=1550744821,95m²
99,绿地国际博览城卧珑  红谷滩-九龙湖新区-九龙大道1177号,15156元/m²,2013年建造,145,3室2厅,国博三房，近地铁，博览中心，就读育新，南北通透，超强视野,低层(共32层),https://nc.anjuke.com/prop/view/A1583641841?from=filter&spread=filtersearch_p&position=40&kwtype=filter&now_time=1550744821,95m²
100,绿地国际博览城博睿  红谷滩-九龙湖新区-九龙大道1177号,13830元/m²,2015年建造,130,3室2厅,九龙湖中心，江景房，公园畔，近地铁，房东出国急售，直接10万,中层(共32层),https://nc.anjuke.com/prop/view/A1568066803?from=filter&spread=filtersearch_p&position=41&kwtype=filter&now_time=1550744821,94m²
101,华润凯旋门  红谷滩-九龙湖新区-西站东街,15000元/m²,2016年建造,108,2室2厅,九龙湖 地铁口实用2居室 省政府西客站省妇保旁 有钥匙可看房,中层(共32层),https://nc.anjuke.com/prop/view/A1568459141?from=filter&spread=filtersearch_p&position=42&kwtype=filter&now_time=1550744821,72m²
102,绿地国际博览城博浩  红谷滩-九龙湖新区-九龙大道1177号,13789元/m²,2015年建造,131,3室2厅,诚心出售！绿地国际博览城二期三房  近地铁  看中价格好谈,中层(共32层),https://nc.anjuke.com/prop/view/A1586452068?from=filter&spread=filtersearch_p&position=43&kwtype=filter&now_time=1550744821,95m²
103,华润凯旋门  红谷滩-九龙湖新区-西站东街,15139元/m²,2016年建造,109,2室2厅,诚意急售！精致2房九龙湖 西站旁 华润凯旋门 2号线地铁口,低层(共32层),https://nc.anjuke.com/prop/view/A1554826525?from=filter&spread=filtersearch_p&position=44&kwtype=filter&now_time=1550744821,72m²
104,绿地国际博览城卧珑  红谷滩-九龙湖新区-九龙大道1177号,13895元/m²,2014年建造,132,3室2厅,绿地国际博览城卧珑 小三房 中上楼层 视野无挡 楼下是地铁口,高层(共32层),https://nc.anjuke.com/prop/view/A1587521361?from=filter&spread=filtersearch_p&position=45&kwtype=filter&now_time=1550744821,95m²
105,绿地国际博览城博君  红谷滩-九龙湖新区-九龙大道1177号,14211元/m²,2015年建造,135,3室1厅,保真 房 绿地国际博览城二期博君 江景 地铁口 方正三房,高层(共32层),https://nc.anjuke.com/prop/view/A1570419064?from=filter&spread=filtersearch_p&position=46&kwtype=filter&now_time=1550744821,95m²
106,绿地国际博览城君珑  红谷滩-九龙湖新区-九龙大道1177号,14211元/m²,2015年建造,135,3室2厅,实拍房源 国博城，可读育新名校，地铁300米，红本在手，急售,中层(共32层),https://nc.anjuke.com/prop/view/A1584235125?from=filter&spread=filtersearch_p&position=47&kwtype=filter&now_time=1550744821,95m²
107,绿地国际博览城博浩  红谷滩-九龙湖新区-九龙大道1177号,14787元/m²,2016年建造,139,3室2厅,九龙湖绿地国际博览城三房地铁口旁南北通透业主着急置换诚心出售,中层(共32层),https://nc.anjuke.com/prop/view/A1587420183?from=filter&spread=filtersearch_p&position=48&kwtype=filter&now_time=1550744821,94m²
108,华润凯旋门  红谷滩-九龙湖新区-西站东街,15909元/m²,2015年建造,140,3室2厅,华润凯旋门小高层南北通透3房低总价140万 视野无敌,低层(共11层),https://nc.anjuke.com/prop/view/A1528894399?from=filter&spread=filtersearch_p&position=49&kwtype=filter&now_time=1550744821,88m²
109,绿地国际博览城博浩  红谷滩-九龙湖新区-九龙大道1177号,14839元/m²,2014年建造,138,3室2厅,绿地国际博览城 刚需小三房 视野开阔 环境优美 读南昌二中,中层(共30层),https://nc.anjuke.com/prop/view/A1587519461?from=filter&spread=filtersearch_p&position=50&kwtype=filter&now_time=1550744821,93m²
110,华润凯旋门  红谷滩-九龙湖新区-西站东街,14943元/m²,2014年建造,130,3室2厅,九龙湖不限购 华润凯旋门 龙岗地铁站 九年制学校 看中谈价,高层(共31层),https://nc.anjuke.com/prop/view/A1565164488?from=filter&spread=filtersearch_p&position=51&kwtype=filter&now_time=1550744821,87m²
111,华润凯旋门  红谷滩-九龙湖新区-西站东街,15056元/m²,2015年建造,134,3室2厅,九龙湖华润凯旋门洋房小高层 南北通透三房 得房率高楼下龙岗站,高层(共11层),https://nc.anjuke.com/prop/view/A1587519588?from=filter&spread=filtersearch_p&position=52&kwtype=filter&now_time=1550744821,89m²
112,绿地国际博览城卧珑  红谷滩-九龙湖新区-九龙大道1177号,14737元/m²,2015年建造,140,3室2厅,绿地一期楼下育新小学 房东资金周转急急急急急出售 看上就卖！,低层(共32层),https://nc.anjuke.com/prop/view/A1540645916?from=filter&spread=filtersearch_p&position=53&kwtype=filter&now_time=1550744821,95m²
113,绿地国际博览城博睿  红谷滩-九龙湖新区-九龙大道1177号,14839元/m²,2014年建造,138,3室2厅,独有小三房，低总价，视野好，房东诚心出售！随时可以看房,中层(共32层),https://nc.anjuke.com/prop/view/A1567905565?from=filter&spread=filtersearch_p&position=54&kwtype=filter&now_time=1550744821,93m²
114,绿地国际博览城御珑  红谷滩-九龙湖新区-九龙大道1177号,15474元/m²,2014年建造,147,3室2厅,急售，老房东挂牌，急等用钱，绿地国愽三房给价就卖，钥匙在手,中层(共32层),https://nc.anjuke.com/prop/view/A1579405429?from=filter&spread=filtersearch_p&position=55&kwtype=filter&now_time=1550744821,95m²
115,华润凯旋门  红谷滩-九龙湖新区-西站东街,15213元/m²,2015年建造,135,3室2厅,九龙湖西站旁 房东低 价出售 得房率超高 位置极好,低层(共11层),https://nc.anjuke.com/prop/view/A1547310141?from=filter&spread=filtersearch_p&position=56&kwtype=filter&now_time=1550744821,88m²
116,绿地国际博览城博君  红谷滩-九龙湖新区-九龙大道1177号,17250元/m²,2014年建造,138,2室2厅,急售，急售，国愽房东因生意失败降价20万亏本大甩卖，只卖三天,中层(共32层),https://nc.anjuke.com/prop/view/A1578818934?from=filter&spread=filtersearch_p&position=57&kwtype=filter&now_time=1550744821,80m²
117,绿地国际博览城藏珑  红谷滩-九龙湖新区-九龙大道1177号,13895元/m²,2016年建造,132,3室2厅,九龙湖绿地国博城藏珑三房 16楼 前后无挡 楼下国博站和育新,中层(共32层),https://nc.anjuke.com/prop/view/A1587519566?from=filter&spread=filtersearch_p&position=58&kwtype=filter&now_time=1550744821,95m²
118,绿地国际博览城藏珑  红谷滩-九龙湖新区-九龙大道1177号,15016元/m²,2015年建造,143,3室2厅,博览城一期通透3房出售， 地铁口 产证在手 育新二中九年制,低层(共32层),https://nc.anjuke.com/prop/view/A1583735408?from=filter&spread=filtersearch_p&position=59&kwtype=filter&now_time=1550744821,95m²
119,绿地国际博览城博睿  红谷滩-九龙湖新区-九龙大道1177号,14624元/m²,2016年建造,136,3室2厅,九龙湖绿地国际博览城二期博睿 主卧带飘窗可看江景 26楼无挡,高层(共32层),https://nc.anjuke.com/prop/view/A1587519423?from=filter&spread=filtersearch_p&position=60&kwtype=filter&now_time=1550744821,93m²
